
[11:25:22 4993 INF] Running "Day 12: Rain Risk. Part One."
[11:25:22 5375 INF] 	After 5 instruction the awnser is 25.
[11:25:22 5534 VRB] 	Ship (EastWest 5457, NorthSouth -11968). Waypoint (EastWest 2, NorthSouth -36)
[11:25:22 5534 VRB] 	Ship (EastWest 5491, NorthSouth -12580). Waypoint (EastWest 2, NorthSouth -36)
[11:25:22 5534 VRB] 	Ship (EastWest 5517, NorthSouth -13048). Waypoint (EastWest 2, NorthSouth -36)
[11:25:22 5534 VRB] 	Ship (EastWest 5517, NorthSouth -13048). Waypoint (EastWest -36, NorthSouth -2)
[11:25:22 5534 VRB] 	Ship (EastWest 5517, NorthSouth -13048). Waypoint (EastWest -34, NorthSouth -2)
[11:25:22 5534 VRB] 	Ship (EastWest 5517, NorthSouth -13048). Waypoint (EastWest -34, NorthSouth -4)
[11:25:22 5534 VRB] 	Ship (EastWest 5517, NorthSouth -13048). Waypoint (EastWest -32, NorthSouth -4)
[11:25:22 5534 VRB] 	Ship (EastWest 5517, NorthSouth -13048). Waypoint (EastWest -32, NorthSouth -8)
[11:25:22 5534 VRB] 	Ship (EastWest 5517, NorthSouth -13048). Waypoint (EastWest -8, NorthSouth 32)
[11:25:22 5535 VRB] 	Ship (EastWest 5517, NorthSouth -13048). Waypoint (EastWest -12, NorthSouth 32)
[11:25:22 5535 VRB] 	Ship (EastWest 5289, NorthSouth -12440). Waypoint (EastWest -12, NorthSouth 32)
[11:25:22 5535 VRB] 	Ship (EastWest 4401, NorthSouth -10072). Waypoint (EastWest -12, NorthSouth 32)
[11:25:22 5535 VRB] 	Ship (EastWest 4401, NorthSouth -10072). Waypoint (EastWest -12, NorthSouth 28)
[11:25:22 5535 VRB] 	Ship (EastWest 4401, NorthSouth -10072). Waypoint (EastWest 28, NorthSouth 12)
[11:25:22 5535 VRB] 	Ship (EastWest 4401, NorthSouth -10072). Waypoint (EastWest 23, NorthSouth 12)
[11:25:22 5535 VRB] 	Ship (EastWest 4401, NorthSouth -10072). Waypoint (EastWest 23, NorthSouth 7)
[11:25:22 5535 VRB] 	Ship (EastWest 4516, NorthSouth -10037). Waypoint (EastWest 23, NorthSouth 7)
[11:25:22 5535 VRB] 	Ship (EastWest 4516, NorthSouth -10037). Waypoint (EastWest 23, NorthSouth 10)
[11:25:22 5535 VRB] 	Ship (EastWest 4516, NorthSouth -10037). Waypoint (EastWest 18, NorthSouth 10)
[11:25:22 5535 VRB] 	Ship (EastWest 4516, NorthSouth -10037). Waypoint (EastWest 10, NorthSouth -18)
[11:25:22 5535 VRB] 	Ship (EastWest 4516, NorthSouth -10037). Waypoint (EastWest 10, NorthSouth -23)
[11:25:22 5535 VRB] 	Ship (EastWest 4966, NorthSouth -11072). Waypoint (EastWest 10, NorthSouth -23)
[11:25:22 5535 VRB] 	Ship (EastWest 4966, NorthSouth -11072). Waypoint (EastWest 23, NorthSouth 10)
[11:25:22 5535 VRB] 	Ship (EastWest 4966, NorthSouth -11072). Waypoint (EastWest 25, NorthSouth 10)
[11:25:22 5536 VRB] 	Ship (EastWest 4966, NorthSouth -11072). Waypoint (EastWest 10, NorthSouth -25)
[11:25:22 5536 VRB] 	Ship (EastWest 4966, NorthSouth -11072). Waypoint (EastWest 5, NorthSouth -25)
[11:25:22 5536 VRB] 	Ship (EastWest 4966, NorthSouth -11072). Waypoint (EastWest -25, NorthSouth -5)
[11:25:22 5536 VRB] 	Ship (EastWest 4966, NorthSouth -11072). Waypoint (EastWest -20, NorthSouth -5)
[11:25:22 5536 VRB] 	Ship (EastWest 4966, NorthSouth -11072). Waypoint (EastWest -5, NorthSouth 20)
[11:25:22 5536 VRB] 	Ship (EastWest 4966, NorthSouth -11072). Waypoint (EastWest -2, NorthSouth 20)
[11:25:22 5536 VRB] 	Ship (EastWest 4966, NorthSouth -11072). Waypoint (EastWest 2, NorthSouth 20)
[11:25:22 5536 VRB] 	Ship (EastWest 5132, NorthSouth -9412). Waypoint (EastWest 2, NorthSouth 20)
[11:25:22 5536 VRB] 	Ship (EastWest 5132, NorthSouth -9412). Waypoint (EastWest 0, NorthSouth 20)
[11:25:22 5536 VRB] 	Ship (EastWest 5132, NorthSouth -8012). Waypoint (EastWest 0, NorthSouth 20)
[11:25:22 5536 VRB] 	Ship (EastWest 5132, NorthSouth -8012). Waypoint (EastWest -1, NorthSouth 20)
[11:25:22 5536 VRB] 	Ship (EastWest 5075, NorthSouth -6872). Waypoint (EastWest -1, NorthSouth 20)
[11:25:22 5536 VRB] 	Ship (EastWest 5075, NorthSouth -6872). Waypoint (EastWest 4, NorthSouth 20)
[11:25:22 5536 VRB] 	Ship (EastWest 5075, NorthSouth -6872). Waypoint (EastWest 4, NorthSouth 18)
[11:25:22 5536 VRB] 	Ship (EastWest 5455, NorthSouth -5162). Waypoint (EastWest 4, NorthSouth 18)
[11:25:22 5536 VRB] 	Ship (EastWest 5455, NorthSouth -5162). Waypoint (EastWest 4, NorthSouth 13)
[11:25:22 5537 VRB] 	Ship (EastWest 5455, NorthSouth -5162). Waypoint (EastWest 4, NorthSouth 9)
[11:25:22 5537 VRB] 	Ship (EastWest 5455, NorthSouth -5162). Waypoint (EastWest 5, NorthSouth 9)
[11:25:22 5537 VRB] 	Ship (EastWest 5455, NorthSouth -5162). Waypoint (EastWest 5, NorthSouth 4)
[11:25:22 5537 VRB] 	Ship (EastWest 5455, NorthSouth -5162). Waypoint (EastWest -5, NorthSouth -4)
[11:25:22 5537 VRB] 	Ship (EastWest 5365, NorthSouth -5234). Waypoint (EastWest -5, NorthSouth -4)
[11:25:22 5537 VRB] 	Ship (EastWest 5365, NorthSouth -5234). Waypoint (EastWest -5, NorthSouth -2)
[11:25:22 5537 VRB] 	Ship (EastWest 5090, NorthSouth -5344). Waypoint (EastWest -5, NorthSouth -2)
[11:25:22 5537 VRB] 	Ship (EastWest 5090, NorthSouth -5344). Waypoint (EastWest -8, NorthSouth -2)
[11:25:22 5537 VRB] 	Ship (EastWest 4914, NorthSouth -5388). Waypoint (EastWest -8, NorthSouth -2)
[11:25:22 5537 VRB] 	Ship (EastWest 4914, NorthSouth -5388). Waypoint (EastWest -12, NorthSouth -2)
[11:25:22 5537 VRB] 	Ship (EastWest 4914, NorthSouth -5388). Waypoint (EastWest -12, NorthSouth 1)
[11:25:22 5537 VRB] 	Ship (EastWest 3978, NorthSouth -5310). Waypoint (EastWest -12, NorthSouth 1)
[11:25:22 5537 VRB] 	Ship (EastWest 3978, NorthSouth -5310). Waypoint (EastWest -13, NorthSouth 1)
[11:25:22 5537 VRB] 	Ship (EastWest 2951, NorthSouth -5231). Waypoint (EastWest -13, NorthSouth 1)
[11:25:22 5538 VRB] 	Ship (EastWest 2951, NorthSouth -5231). Waypoint (EastWest -13, NorthSouth 4)
[11:25:22 5538 VRB] 	Ship (EastWest 2925, NorthSouth -5223). Waypoint (EastWest -13, NorthSouth 4)
[11:25:22 5538 VRB] 	Ship (EastWest 2925, NorthSouth -5223). Waypoint (EastWest -4, NorthSouth -13)
[11:25:22 5538 VRB] 	Ship (EastWest 2925, NorthSouth -5223). Waypoint (EastWest -7, NorthSouth -13)
[11:25:22 5538 VRB] 	Ship (EastWest 2925, NorthSouth -5223). Waypoint (EastWest -7, NorthSouth -8)
[11:25:22 5538 VRB] 	Ship (EastWest 2925, NorthSouth -5223). Waypoint (EastWest 8, NorthSouth -7)
[11:25:22 5538 VRB] 	Ship (EastWest 2925, NorthSouth -5223). Waypoint (EastWest 9, NorthSouth -7)
[11:25:22 5538 VRB] 	Ship (EastWest 2925, NorthSouth -5223). Waypoint (EastWest 7, NorthSouth 9)
[11:25:22 5538 VRB] 	Ship (EastWest 3485, NorthSouth -4503). Waypoint (EastWest 7, NorthSouth 9)
[11:25:22 5538 VRB] 	Ship (EastWest 3485, NorthSouth -4503). Waypoint (EastWest 3, NorthSouth 9)
[11:25:22 5538 VRB] 	Ship (EastWest 3485, NorthSouth -4503). Waypoint (EastWest -3, NorthSouth -9)
[11:25:22 5538 VRB] 	Ship (EastWest 3485, NorthSouth -4503). Waypoint (EastWest -5, NorthSouth -9)
[11:25:22 5538 VRB] 	Ship (EastWest 3485, NorthSouth -4503). Waypoint (EastWest -5, NorthSouth -5)
[11:25:22 5538 VRB] 	Ship (EastWest 3290, NorthSouth -4698). Waypoint (EastWest -5, NorthSouth -5)
[11:25:22 5538 VRB] 	Ship (EastWest 3290, NorthSouth -4698). Waypoint (EastWest -7, NorthSouth -5)
[11:25:22 5538 VRB] 	Ship (EastWest 2919, NorthSouth -4963). Waypoint (EastWest -7, NorthSouth -5)
[11:25:22 5538 VRB] 	Ship (EastWest 2919, NorthSouth -4963). Waypoint (EastWest 7, NorthSouth 5)
[11:25:22 5539 VRB] 	Ship (EastWest 2919, NorthSouth -4963). Waypoint (EastWest 6, NorthSouth 5)
[11:25:22 5539 VRB] 	Ship (EastWest 2919, NorthSouth -4963). Waypoint (EastWest 5, NorthSouth -6)
[11:25:22 5539 VRB] 	Ship (EastWest 2969, NorthSouth -5023). Waypoint (EastWest 5, NorthSouth -6)
[11:25:22 5539 VRB] 	Ship (EastWest 2969, NorthSouth -5023). Waypoint (EastWest 6, NorthSouth -6)
[11:25:22 5539 VRB] 	Ship (EastWest 2969, NorthSouth -5023). Waypoint (EastWest 6, NorthSouth -7)
[11:25:22 5539 VRB] 	Ship (EastWest 3413, NorthSouth -5541). Waypoint (EastWest 6, NorthSouth -7)
[11:25:22 5539 VRB] 	Ship (EastWest 3413, NorthSouth -5541). Waypoint (EastWest 6, NorthSouth -2)
[11:25:22 5539 VRB] 	Ship (EastWest 3413, NorthSouth -5541). Waypoint (EastWest -2, NorthSouth -6)
[11:25:22 5539 VRB] 	Ship (EastWest 3413, NorthSouth -5541). Waypoint (EastWest -2, NorthSouth -5)
[11:25:22 5539 VRB] 	Ship (EastWest 3259, NorthSouth -5926). Waypoint (EastWest -2, NorthSouth -5)
[11:25:22 5539 VRB] 	Ship (EastWest 3259, NorthSouth -5926). Waypoint (EastWest 5, NorthSouth -2)
[11:25:22 5539 VRB] 	Ship (EastWest 3259, NorthSouth -5926). Waypoint (EastWest 7, NorthSouth -2)
[11:25:22 5539 VRB] 	Ship (EastWest 3259, NorthSouth -5926). Waypoint (EastWest -2, NorthSouth -7)
[11:25:22 5539 VRB] 	Ship (EastWest 3259, NorthSouth -5926). Waypoint (EastWest -2, NorthSouth -9)
[11:25:22 5540 VRB] 	Ship (EastWest 3259, NorthSouth -5926). Waypoint (EastWest -9, NorthSouth 2)
[11:25:22 5540 VRB] 	Ship (EastWest 3259, NorthSouth -5926). Waypoint (EastWest -9, NorthSouth 6)
[11:25:22 5540 VRB] 	Ship (EastWest 3259, NorthSouth -5926). Waypoint (EastWest -14, NorthSouth 6)
[11:25:22 5540 VRB] 	Ship (EastWest 2503, NorthSouth -5602). Waypoint (EastWest -14, NorthSouth 6)
[11:25:22 5540 VRB] 	Ship (EastWest 2503, NorthSouth -5602). Waypoint (EastWest -14, NorthSouth 5)
[11:25:22 5540 VRB] 	Ship (EastWest 2503, NorthSouth -5602). Waypoint (EastWest -5, NorthSouth -14)
[11:25:22 5540 VRB] 	Ship (EastWest 2503, NorthSouth -5602). Waypoint (EastWest -10, NorthSouth -14)
[11:25:22 5540 VRB] 	Ship (EastWest 2503, NorthSouth -5602). Waypoint (EastWest 14, NorthSouth -10)
[11:25:22 5540 VRB] 	Ship (EastWest 2503, NorthSouth -5602). Waypoint (EastWest 14, NorthSouth -8)
[11:25:22 5540 VRB] 	Ship (EastWest 2503, NorthSouth -5602). Waypoint (EastWest 8, NorthSouth 14)
[11:25:22 5540 VRB] 	Ship (EastWest 2503, NorthSouth -5602). Waypoint (EastWest 8, NorthSouth 12)
[11:25:22 5540 VRB] 	Ship (EastWest 2503, NorthSouth -5602). Waypoint (EastWest -12, NorthSouth 8)
[11:25:22 5540 VRB] 	Ship (EastWest 2503, NorthSouth -5602). Waypoint (EastWest -12, NorthSouth 4)
[11:25:22 5540 VRB] 	Ship (EastWest 2311, NorthSouth -5538). Waypoint (EastWest -12, NorthSouth 4)
[11:25:22 5540 VRB] 	Ship (EastWest 2311, NorthSouth -5538). Waypoint (EastWest -12, NorthSouth 5)
[11:25:22 5541 VRB] 	Ship (EastWest 1999, NorthSouth -5408). Waypoint (EastWest -12, NorthSouth 5)
[11:25:22 5541 VRB] 	Ship (EastWest 1999, NorthSouth -5408). Waypoint (EastWest 5, NorthSouth 12)
[11:25:22 5541 VRB] 	Ship (EastWest 1999, NorthSouth -5408). Waypoint (EastWest 5, NorthSouth 8)
[11:25:22 5541 VRB] 	Ship (EastWest 1999, NorthSouth -5408). Waypoint (EastWest 8, NorthSouth -5)
[11:25:22 5541 VRB] 	Ship (EastWest 1999, NorthSouth -5408). Waypoint (EastWest 13, NorthSouth -5)
[11:25:22 5541 VRB] 	Ship (EastWest 1999, NorthSouth -5408). Waypoint (EastWest 5, NorthSouth 13)
[11:25:22 5541 VRB] 	Ship (EastWest 2414, NorthSouth -4329). Waypoint (EastWest 5, NorthSouth 13)
[11:25:22 5541 VRB] 	Ship (EastWest 2414, NorthSouth -4329). Waypoint (EastWest 5, NorthSouth 18)
[11:25:22 5541 VRB] 	Ship (EastWest 2414, NorthSouth -4329). Waypoint (EastWest 18, NorthSouth -5)
[11:25:22 5541 VRB] 	Ship (EastWest 2414, NorthSouth -4329). Waypoint (EastWest 18, NorthSouth -7)
[11:25:22 5541 VRB] 	Ship (EastWest 2414, NorthSouth -4329). Waypoint (EastWest 14, NorthSouth -7)
[11:25:22 5541 VRB] 	Ship (EastWest 2414, NorthSouth -4329). Waypoint (EastWest -7, NorthSouth -14)
[11:25:22 5541 VRB] 	Ship (EastWest 2414, NorthSouth -4329). Waypoint (EastWest -11, NorthSouth -14)
[11:25:22 5541 VRB] 	Ship (EastWest 2414, NorthSouth -4329). Waypoint (EastWest 14, NorthSouth -11)
[11:25:22 5541 VRB] 	Ship (EastWest 3674, NorthSouth -5319). Waypoint (EastWest 14, NorthSouth -11)
[11:25:22 5541 VRB] 	Ship (EastWest 3674, NorthSouth -5319). Waypoint (EastWest 14, NorthSouth -13)
[11:25:22 5542 VRB] 	Ship (EastWest 3674, NorthSouth -5319). Waypoint (EastWest 12, NorthSouth -13)
[11:25:22 5542 VRB] 	Ship (EastWest 3830, NorthSouth -5488). Waypoint (EastWest 12, NorthSouth -13)
[11:25:22 5542 VRB] 	Ship (EastWest 3830, NorthSouth -5488). Waypoint (EastWest 12, NorthSouth -16)
[11:25:22 5542 VRB] 	Ship (EastWest 4610, NorthSouth -6528). Waypoint (EastWest 12, NorthSouth -16)
[11:25:22 5542 VRB] 	Ship (EastWest 4610, NorthSouth -6528). Waypoint (EastWest 11, NorthSouth -16)
[11:25:22 5542 VRB] 	Ship (EastWest 4610, NorthSouth -6528). Waypoint (EastWest 16, NorthSouth 11)
[11:25:22 5542 VRB] 	Ship (EastWest 4610, NorthSouth -6528). Waypoint (EastWest 21, NorthSouth 11)
[11:25:22 5542 VRB] 	Ship (EastWest 4610, NorthSouth -6528). Waypoint (EastWest 11, NorthSouth -21)
[11:25:22 5542 VRB] 	Ship (EastWest 4610, NorthSouth -6528). Waypoint (EastWest 11, NorthSouth -25)
[11:25:22 5542 VRB] 	Ship (EastWest 4610, NorthSouth -6528). Waypoint (EastWest 12, NorthSouth -25)
[11:25:22 5542 VRB] 	Ship (EastWest 5198, NorthSouth -7753). Waypoint (EastWest 12, NorthSouth -25)
[11:25:22 5542 VRB] 	Ship (EastWest 5198, NorthSouth -7753). Waypoint (EastWest 8, NorthSouth -25)
[11:25:22 5542 VRB] 	Ship (EastWest 5494, NorthSouth -8678). Waypoint (EastWest 8, NorthSouth -25)
[11:25:22 5542 VRB] 	Ship (EastWest 5494, NorthSouth -8678). Waypoint (EastWest 4, NorthSouth -25)
[11:25:22 5542 VRB] 	Ship (EastWest 5494, NorthSouth -8678). Waypoint (EastWest -4, NorthSouth 25)
[11:25:22 5542 VRB] 	Ship (EastWest 5494, NorthSouth -8678). Waypoint (EastWest -5, NorthSouth 25)
[11:25:22 5543 VRB] 	Ship (EastWest 5134, NorthSouth -6878). Waypoint (EastWest -5, NorthSouth 25)
[11:25:22 5543 VRB] 	Ship (EastWest 5134, NorthSouth -6878). Waypoint (EastWest -5, NorthSouth 23)
[11:25:22 5543 VRB] 	Ship (EastWest 4994, NorthSouth -6234). Waypoint (EastWest -5, NorthSouth 23)
[11:25:22 5543 VRB] 	Ship (EastWest 4994, NorthSouth -6234). Waypoint (EastWest -23, NorthSouth -5)
[11:25:22 5543 VRB] 	Ship (EastWest 4994, NorthSouth -6234). Waypoint (EastWest -23, NorthSouth -4)
[11:25:22 5543 VRB] 	Ship (EastWest 4994, NorthSouth -6234). Waypoint (EastWest -22, NorthSouth -4)
[11:25:22 5543 VRB] 	Ship (EastWest 4994, NorthSouth -6234). Waypoint (EastWest -4, NorthSouth 22)
[11:25:22 5543 VRB] 	Ship (EastWest 4722, NorthSouth -4738). Waypoint (EastWest -4, NorthSouth 22)
[11:25:22 5543 VRB] 	Ship (EastWest 4722, NorthSouth -4738). Waypoint (EastWest -4, NorthSouth 21)
[11:25:22 5543 VRB] 	Ship (EastWest 4722, NorthSouth -4738). Waypoint (EastWest -7, NorthSouth 21)
[11:25:22 5543 VRB] 	Ship (EastWest 4722, NorthSouth -4738). Waypoint (EastWest -7, NorthSouth 22)
[11:25:22 5543 VRB] 	Ship (EastWest 4036, NorthSouth -2582). Waypoint (EastWest -7, NorthSouth 22)
[11:25:22 5543 VRB] 	Ship (EastWest 3910, NorthSouth -2186). Waypoint (EastWest -7, NorthSouth 22)
[11:25:22 5543 VRB] 	Ship (EastWest 3910, NorthSouth -2186). Waypoint (EastWest -4, NorthSouth 22)
[11:25:22 5544 VRB] 	Ship (EastWest 3910, NorthSouth -2186). Waypoint (EastWest 4, NorthSouth -22)
[11:25:22 5544 VRB] 	Ship (EastWest 4062, NorthSouth -3022). Waypoint (EastWest 4, NorthSouth -22)
[11:25:22 5544 VRB] 	Ship (EastWest 4062, NorthSouth -3022). Waypoint (EastWest -1, NorthSouth -22)
[11:25:22 5544 VRB] 	Ship (EastWest 4062, NorthSouth -3022). Waypoint (EastWest 22, NorthSouth -1)
[11:25:22 5544 VRB] 	Ship (EastWest 4920, NorthSouth -3061). Waypoint (EastWest 22, NorthSouth -1)
[11:25:22 5544 VRB] 	Ship (EastWest 4920, NorthSouth -3061). Waypoint (EastWest 17, NorthSouth -1)
[11:25:22 5544 VRB] 	Ship (EastWest 4920, NorthSouth -3061). Waypoint (EastWest 17, NorthSouth -5)
[11:25:22 5544 VRB] 	Ship (EastWest 4920, NorthSouth -3061). Waypoint (EastWest 5, NorthSouth 17)
[11:25:22 5544 VRB] 	Ship (EastWest 4920, NorthSouth -3061). Waypoint (EastWest 5, NorthSouth 15)
[11:25:22 5544 VRB] 	Ship (EastWest 4920, NorthSouth -3061). Waypoint (EastWest -15, NorthSouth 5)
[11:25:22 5544 VRB] 	Ship (EastWest 3720, NorthSouth -2661). Waypoint (EastWest -15, NorthSouth 5)
[11:25:22 5544 VRB] 	Ship (EastWest 3720, NorthSouth -2661). Waypoint (EastWest -19, NorthSouth 5)
[11:25:22 5544 VRB] 	Ship (EastWest 2295, NorthSouth -2286). Waypoint (EastWest -19, NorthSouth 5)
[11:25:22 5544 VRB] 	Ship (EastWest 965, NorthSouth -1936). Waypoint (EastWest -19, NorthSouth 5)
[11:25:22 5544 VRB] 	Ship (EastWest 965, NorthSouth -1936). Waypoint (EastWest -14, NorthSouth 5)
[11:25:22 5544 VRB] 	Ship (EastWest 965, NorthSouth -1936). Waypoint (EastWest -14, NorthSouth 8)
[11:25:22 5545 VRB] 	Ship (EastWest 671, NorthSouth -1768). Waypoint (EastWest -14, NorthSouth 8)
[11:25:22 5545 VRB] 	Ship (EastWest 671, NorthSouth -1768). Waypoint (EastWest -8, NorthSouth -14)
[11:25:22 5545 VRB] 	Ship (EastWest 639, NorthSouth -1824). Waypoint (EastWest -8, NorthSouth -14)
[11:25:22 5545 VRB] 	Ship (EastWest 639, NorthSouth -1824). Waypoint (EastWest -11, NorthSouth -14)
[11:25:22 5545 VRB] 	Ship (EastWest 518, NorthSouth -1978). Waypoint (EastWest -11, NorthSouth -14)
[11:25:22 5545 VRB] 	Ship (EastWest 518, NorthSouth -1978). Waypoint (EastWest -11, NorthSouth -12)
[11:25:22 5545 VRB] 	Ship (EastWest 518, NorthSouth -1978). Waypoint (EastWest -12, NorthSouth 11)
[11:25:22 5545 VRB] 	Ship (EastWest -622, NorthSouth -933). Waypoint (EastWest -12, NorthSouth 11)
[11:25:22 5545 VRB] 	Ship (EastWest -622, NorthSouth -933). Waypoint (EastWest -11, NorthSouth -12)
[11:25:22 5545 VRB] 	Ship (EastWest -622, NorthSouth -933). Waypoint (EastWest -13, NorthSouth -12)
[11:25:22 5545 VRB] 	Ship (EastWest -986, NorthSouth -1269). Waypoint (EastWest -13, NorthSouth -12)
[11:25:22 5545 VRB] 	Ship (EastWest -986, NorthSouth -1269). Waypoint (EastWest -9, NorthSouth -12)
[11:25:22 5545 VRB] 	Ship (EastWest -1463, NorthSouth -1905). Waypoint (EastWest -9, NorthSouth -12)
[11:25:22 5550 VRB] 	Ship (EastWest -1463, NorthSouth -1905). Waypoint (EastWest -9, NorthSouth -11)
[11:25:22 5550 VRB] 	Ship (EastWest -1463, NorthSouth -1905). Waypoint (EastWest -5, NorthSouth -11)
[11:25:22 5550 VRB] 	Ship (EastWest -1463, NorthSouth -1905). Waypoint (EastWest 11, NorthSouth -5)
[11:25:22 5550 VRB] 	Ship (EastWest -1221, NorthSouth -2015). Waypoint (EastWest 11, NorthSouth -5)
[11:25:22 5550 VRB] 	Ship (EastWest -1221, NorthSouth -2015). Waypoint (EastWest 11, NorthSouth -4)
[11:25:22 5550 VRB] 	Ship (EastWest -1221, NorthSouth -2015). Waypoint (EastWest 13, NorthSouth -4)
[11:25:22 5550 VRB] 	Ship (EastWest -1221, NorthSouth -2015). Waypoint (EastWest 13, NorthSouth -1)
[11:25:22 5550 VRB] 	Ship (EastWest -597, NorthSouth -2063). Waypoint (EastWest 13, NorthSouth -1)
[11:25:22 5550 VRB] 	Ship (EastWest -597, NorthSouth -2063). Waypoint (EastWest 9, NorthSouth -1)
[11:25:22 5551 VRB] 	Ship (EastWest -399, NorthSouth -2085). Waypoint (EastWest 9, NorthSouth -1)
[11:25:22 5551 VRB] 	Ship (EastWest -399, NorthSouth -2085). Waypoint (EastWest 12, NorthSouth -1)
[11:25:22 5551 VRB] 	Ship (EastWest -399, NorthSouth -2085). Waypoint (EastWest 12, NorthSouth -2)
[11:25:22 5551 VRB] 	Ship (EastWest 381, NorthSouth -2215). Waypoint (EastWest 12, NorthSouth -2)
[11:25:22 5551 VRB] 	Ship (EastWest 381, NorthSouth -2215). Waypoint (EastWest -12, NorthSouth 2)
[11:25:22 5551 VRB] 	Ship (EastWest 237, NorthSouth -2191). Waypoint (EastWest -12, NorthSouth 2)
[11:25:22 5551 VRB] 	Ship (EastWest 237, NorthSouth -2191). Waypoint (EastWest -12, NorthSouth -1)
[11:25:22 5551 VRB] 	Ship (EastWest 237, NorthSouth -2191). Waypoint (EastWest -13, NorthSouth -1)
[11:25:22 5551 VRB] 	Ship (EastWest -881, NorthSouth -2277). Waypoint (EastWest -13, NorthSouth -1)
[11:25:22 5551 VRB] 	Ship (EastWest -881, NorthSouth -2277). Waypoint (EastWest -10, NorthSouth -1)
[11:25:22 5551 VRB] 	Ship (EastWest -1691, NorthSouth -2358). Waypoint (EastWest -10, NorthSouth -1)
[11:25:22 5551 VRB] 	Ship (EastWest -1691, NorthSouth -2358). Waypoint (EastWest -10, NorthSouth -5)
[11:25:22 5551 VRB] 	Ship (EastWest -1691, NorthSouth -2358). Waypoint (EastWest -8, NorthSouth -5)
[11:25:22 5551 VRB] 	Ship (EastWest -1851, NorthSouth -2458). Waypoint (EastWest -8, NorthSouth -5)
[11:25:22 5551 VRB] 	Ship (EastWest -1851, NorthSouth -2458). Waypoint (EastWest -12, NorthSouth -5)
[11:25:22 5551 VRB] 	Ship (EastWest -1851, NorthSouth -2458). Waypoint (EastWest 5, NorthSouth -12)
[11:25:22 5551 VRB] 	Ship (EastWest -1851, NorthSouth -2458). Waypoint (EastWest 5, NorthSouth -11)
[11:25:22 5551 VRB] 	Ship (EastWest -1631, NorthSouth -2942). Waypoint (EastWest 5, NorthSouth -11)
[11:25:22 5552 VRB] 	Ship (EastWest -1631, NorthSouth -2942). Waypoint (EastWest -11, NorthSouth -5)
[11:25:22 5552 VRB] 	Ship (EastWest -1631, NorthSouth -2942). Waypoint (EastWest -11, NorthSouth -10)
[11:25:22 5552 VRB] 	Ship (EastWest -2192, NorthSouth -3452). Waypoint (EastWest -11, NorthSouth -10)
[11:25:22 5552 VRB] 	Ship (EastWest -2192, NorthSouth -3452). Waypoint (EastWest -12, NorthSouth -10)
[11:25:22 5552 VRB] 	Ship (EastWest -3164, NorthSouth -4262). Waypoint (EastWest -12, NorthSouth -10)
[11:25:22 5552 VRB] 	Ship (EastWest -3164, NorthSouth -4262). Waypoint (EastWest -12, NorthSouth -5)
[11:25:22 5552 VRB] 	Ship (EastWest -3164, NorthSouth -4262). Waypoint (EastWest -17, NorthSouth -5)
[11:25:22 5552 VRB] 	Ship (EastWest -3164, NorthSouth -4262). Waypoint (EastWest -17, NorthSouth -7)
[11:25:22 5552 VRB] 	Ship (EastWest -3164, NorthSouth -4262). Waypoint (EastWest -7, NorthSouth 17)
[11:25:22 5552 VRB] 	Ship (EastWest -3164, NorthSouth -4262). Waypoint (EastWest -7, NorthSouth 15)
[11:25:22 5552 VRB] 	Ship (EastWest -3164, NorthSouth -4262). Waypoint (EastWest -3, NorthSouth 15)
[11:25:22 5552 VRB] 	Ship (EastWest -3164, NorthSouth -4262). Waypoint (EastWest 15, NorthSouth 3)
[11:25:22 5552 VRB] 	Ship (EastWest -2189, NorthSouth -4067). Waypoint (EastWest 15, NorthSouth 3)
[11:25:22 5552 VRB] 	Ship (EastWest -2189, NorthSouth -4067). Waypoint (EastWest -3, NorthSouth 15)
[11:25:22 5552 VRB] 	Ship (EastWest -2189, NorthSouth -4067). Waypoint (EastWest -3, NorthSouth 19)
[11:25:22 5552 VRB] 	Ship (EastWest -2429, NorthSouth -2547). Waypoint (EastWest -3, NorthSouth 19)
[11:25:22 5552 VRB] 	Ship (EastWest -2429, NorthSouth -2547). Waypoint (EastWest -3, NorthSouth 24)
[11:25:22 5552 VRB] 	Ship (EastWest -2429, NorthSouth -2547). Waypoint (EastWest 24, NorthSouth 3)
[11:25:22 5552 VRB] 	Ship (EastWest -2429, NorthSouth -2547). Waypoint (EastWest 24, NorthSouth 2)
[11:25:22 5553 VRB] 	Ship (EastWest -2429, NorthSouth -2547). Waypoint (EastWest -2, NorthSouth 24)
[11:25:22 5553 VRB] 	Ship (EastWest -2429, NorthSouth -2547). Waypoint (EastWest -2, NorthSouth 20)
[11:25:22 5553 VRB] 	Ship (EastWest -2429, NorthSouth -2547). Waypoint (EastWest 20, NorthSouth 2)
[11:25:22 5553 VRB] 	Ship (EastWest -2429, NorthSouth -2547). Waypoint (EastWest 20, NorthSouth 7)
[11:25:22 5553 VRB] 	Ship (EastWest -1409, NorthSouth -2190). Waypoint (EastWest 20, NorthSouth 7)
[11:25:22 5553 VRB] 	Ship (EastWest -1409, NorthSouth -2190). Waypoint (EastWest 22, NorthSouth 7)
[11:25:22 5553 VRB] 	Ship (EastWest -1409, NorthSouth -2190). Waypoint (EastWest -22, NorthSouth -7)
